FindingId,ControlId,Pillar,Resource,Title,Summary,Status,Severity,Effort,Risk,Cost,Priority,Evidence,Recommendation
F-001,SEC-21,Security,workload,No Defender for Cloud security contact configured,"Defender for Cloud plans are enabled and well matched to the deployed services, but no security contact exists, so high-severity alerts on this production workload are raised into the portal and never delivered to a responder.",Fail,4,1,1,1,Do now,defender-for-cloud.json → sections.contacts.data = null,"Configure a Defender for Cloud security contact with a monitored distribution list and an alert severity threshold, then route alerts into the incident process and confirm delivery with a test alert."
F-002,REL-10,Reliability,workload,Recovery has never been tested and achieved RTO and RPO are unknown,"Zone-redundant HA, 35-day geo-redundant database backups and blob point-in-time restore are all configured, but no dated exercise proves a restore has ever been performed or how long it takes.",Not verified,4,3,3,1,Plan,mysql-flexible-server-sample-wp-prod-mysql-sample001.json → sections.show.data.backup.earliestRestoreDate,"Run a full restore drill covering database, media, secrets and configuration; measure and publish the achieved RTO and RPO, and record defects and owners against MAN-02."
F-003,SEC-23,Security,workload,Origin bypass and WAF enforcement are configured but never tested,"App Service ingress is restricted to the Front Door service tag plus the Front Door identifier header and the WAF runs in Prevention mode, but no negative test proves a request that skips Front Door is refused or that a blocked request produces an investigable log entry.",Not verified,4,3,2,1,Plan,appservice-samplewpprod-wp-prod-sample001.json → sections.accessRestrictions.data.ipSecurityRestrictions,"Run a direct-origin request against the azurewebsites.net host, a WAF block test and a secret-rotation test; retain the results and the corresponding Front Door WAF log entries against MAN-07."
F-004,SEC-10,Security,samplewpprodwaf,WordPress administration path has no WAF or network restriction,"The only custom WAF rule rate-limits /wp-login.php and /xmlrpc.php at 20 requests per minute per source address. No rule protects /wp-admin and App Service Authentication is disabled, so the administration surface is defended only by WordPress's own password prompt.",Fail,3,2,2,1,Schedule,"frontdoor-samplewpprodwaf.json → sections.show.data.properties.customRules.rules.matchConditions.matchValue = [""/wp-login.php"", ""/xmlrpc.php""]","Add a WAF rule restricting /wp-admin/* to approved source addresses or an authenticated path, deliberately exempting the admin-ajax.php routes the theme requires, then re-test administrative access."
F-005,SEC-18,Security,samplewpprod-wp-prod-sample001,WordPress dashboard file editing is not disabled,"The app settings collection succeeded and contains no DISALLOW_FILE_EDIT and no explicit WP_DEBUG value, so theme and plugin file editing from the WordPress dashboard remains available. Any administrator compromise therefore becomes remote code execution. phpMyAdmin is correctly disabled.",Fail,3,1,2,1,Schedule,"appservice-samplewpprod-wp-prod-sample001.json → sections.appSettings.data (26 names captured; SETUP_PHPMYADMIN = ""false""; no DISALLOW_FILE_EDIT, no WP_DEBUG)","Set DISALLOW_FILE_EDIT, set WP_DEBUG explicitly to false rather than relying on the image default, and block /xmlrpc.php outright unless a client requires it."
F-006,REL-09,Reliability,workload,Recovery windows are inconsistent across database and media,"The database can be restored to any point within 35 days but media point-in-time restore reaches only 29 days and blob soft delete 30 days, so a restore older than 29 days cannot produce a matching database and media state.",Fail,3,1,1,2,Schedule,mysql-...json → sections.show.data.backup.backupRetentionDays = 35 versus storage-samplewpprodwsample001.json → sections.blobService.data.restorePolicy.days = 29,"Align blob point-in-time restore and soft-delete retention with the 35-day database window, or reduce the database window to the approved RPO, and document the resulting recovery set as a single unit."
F-007,OPS-04,Operations,samplewpprod-wp-prod-sample001,No deployment slot so no tested rollback path,"The slots section collected successfully and returned nothing, so no deployment slot exists despite the PremiumV3 plan including slots at no extra cost. Every release lands directly on the production site with no swap-with-preview, no warm-up stage and no instant rollback.",Fail,3,3,2,1,Schedule,"appservice-samplewpprod-wp-prod-sample001.json → sections.slots.success = true, sections.slots.data = null","Create a staging slot with slot-specific settings, enable Application Initialization warm-up, and adopt swap with preview so the previous version remains available for an immediate swap back."
F-008,MON-02,Operations,samplewpprodlawsample001,Private Link Scope deployed but public monitoring access still enabled,"An Azure Monitor Private Link Scope, an approved private endpoint and four monitor private DNS zones are deployed, yet both the Log Analytics workspace and Application Insights still accept ingestion and queries from the public internet, so the private path is available but not enforced.",Fail,3,2,2,1,Schedule,"log-analytics-samplewpprodlawsample001.json → sections.show.data.publicNetworkAccessForIngestion = ""Enabled"", .publicNetworkAccessForQuery = ""Enabled""","Set publicNetworkAccessForIngestion and publicNetworkAccessForQuery to Disabled on both the workspace and Application Insights after confirming every ingestion and query path resolves through the AMPLS."
F-009,FND-03,Foundations,workload,No approved SLO RTO or RPO to assess resilience spend against,"Nine of thirteen foundations controls could not be decided from collected evidence. Most consequentially no SLO, RTO or RPO is defined, so zone-redundant HA, three-instance capacity and 35-day geo-redundant backups cannot be validated as sufficient or excessive.",Not verified,3,2,1,1,Schedule,manual validation required,"Define and approve SLO, RTO and RPO values with the business owner, then re-assess REL-08 through REL-14 and CST-04 against them."
F-010,REL-06,Reliability,asp-sample-wp-prod-sample001,Autoscale profile not captured so scale behaviour is unproven,"An autoscale setting targets the App Service plan but the collector does not capture its profiles, triggers or cooldowns, and maximumElasticWorkerCount equals current capacity, so scale-out headroom cannot be confirmed.",Not verified,3,1,1,1,Schedule,resource-group-inventory.json → sections.resources.data includes Microsoft.Insights/autoscalesettings/asp-sample-wp-prod-sample001-autoscale,"Export the autoscale profile and confirm the minimum instance count is at least three, the zone-redundancy floor, and that headroom exists above the current capacity."
